ComCode,Description,ShortDesc,CatGroupID,CatGroup,CatGroupOrder
18766,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Uruguay,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - UY,641,USDA Imported Meat - Processed Beef,135
18767,USDA Imported Meat - Processed Beef - Thermally Processed - Uruguay,USDA Imported Meat - Processed Beef - Thermally Processed - UY,641,USDA Imported Meat - Processed Beef,140
18768,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Total,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - Total,641,USDA Imported Meat - Processed Beef,145
18769,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Total,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - Total,641,USDA Imported Meat - Processed Beef,150
18770,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Total,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - Total,641,USDA Imported Meat - Processed Beef,155
18771,USDA Imported Meat - Processed Beef - Thermally Processed - Total,USDA Imported Meat - Processed Beef - Thermally Processed - Total,641,USDA Imported Meat - Processed Beef,160
18772,USDA Imported Meat - Fresh Pork - AMR - Brazil,USDA Imported Meat - Fresh Pork - AMR - BRZ,642,USDA Imported Meat - Fresh Pork,5
18773,USDA Imported Meat - Fresh Pork - Boneless Trimmings - Brazil,USDA Imported Meat - Fresh Pork - Boneless Trimmings - BRZ,642,USDA Imported Meat - Fresh Pork,10
18774,USDA Imported Meat - Fresh Pork - Cuts - Brazil,USDA Imported Meat - Fresh Pork - Cuts - BRZ,642,USDA Imported Meat - Fresh Pork,15
18775,USDA Imported Meat - Fresh Pork - Edible Offal - Brazil,USDA Imported Meat - Fresh Pork - Edible Offal - BRZ,642,USDA Imported Meat - Fresh Pork,20
18776,USDA Imported Meat - Fresh Pork - Other Intact - Brazil,USDA Imported Meat - Fresh Pork - Other Intact - BRZ,642,USDA Imported Meat - Fresh Pork,25
18777,USDA Imported Meat - Fresh Pork - Primals & Subprimals - Brazil,USDA Imported Meat - Fresh Pork - Primals & Subprimals - BRZ,642,USDA Imported Meat - Fresh Pork,30
18778,USDA Imported Meat - Fresh Pork - AMR - Canada,USDA Imported Meat - Fresh Pork - AMR - CAN,642,USDA Imported Meat - Fresh Pork,35
18779,USDA Imported Meat - Fresh Pork - Boneless Trimmings - Canada,USDA Imported Meat - Fresh Pork - Boneless Trimmings - CAN,642,USDA Imported Meat - Fresh Pork,40
18780,USDA Imported Meat - Fresh Pork - Cuts - Canada,USDA Imported Meat - Fresh Pork - Cuts - CAN,642,USDA Imported Meat - Fresh Pork,45
18781,USDA Imported Meat - Fresh Pork - Edible Offal - Canada,USDA Imported Meat - Fresh Pork - Edible Offal - CAN,642,USDA Imported Meat - Fresh Pork,50
18782,USDA Imported Meat - Fresh Pork - Other Intact - Canada,USDA Imported Meat - Fresh Pork - Other Intact - CAN,642,USDA Imported Meat - Fresh Pork,55
18783,USDA Imported Meat - Fresh Pork - Primals & Subprimals - Canada,USDA Imported Meat - Fresh Pork - Primals & Subprimals - CAN,642,USDA Imported Meat - Fresh Pork,60
